,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,10.045667341928235
5,logXiH,7.527619923383501
6,XiE,1.3307835030529414
7,XiH,0.29223947627309704
8,kappa,2.5612182612228254
9,q,0.5740306078280841
10,sigmaK,0.0
11,sigmaZ,0.0
12,sigmaVtilde,0.0
13,muK,0.20447647263212138
14,muZ,0.0
15,muVtilde,0.0
16,chi,0.5833571701611991
17,sigmaW,3.5973840793380103
18,sigmaQ,9.61208026014528
19,sigmaR,9.61208026014528
20,deltaE,771.858290088357
21,deltaH,385.93214069052107
22,PiH,27.041430972502432
23,PiE,207.7990905198109
24,betaE,81.52197102250885
25,betaH,2.6577584736822852
26,muW,323.34872032221745
27,muQ,311.9732807445711
28,r,284.51850829341265
29,dent,0.000625474899808587
30,Fe,8954.060073985871
31,firstCoefsE,323.3487203222175
32,secondCoefsE,3.1020295104519406
33,Fh,273.1405400374932
34,firstCoefsH,305.30444949100337
35,secondCoefsH,3.1020295104519406
36,HJB_E,4068.4793347230157
37,HJB_H,220.04702666883546
38,kappa_min,14.566354992534139
