,Two norm,Sup Norm,Interior Two Norm,Interior Sup Norm
W,0.0,0.0,0.0,0.0
Z,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,0.0
Vtilde,0.0,0.0,0.0,0.0
logXiE,7.165896815886427,0.17601791318138993,3.7037436991806154,0.033154238414629944
logXiH,57.08802207527041,0.26033889677089306,46.625216792288875,0.22546394003093795
XiE,9.252380237084138e-05,4.326124275228104e-06,1.900666257267011e-05,2.07363458581689e-07
XiH,1.675890192276788e-07,1.204719342364216e-09,1.3526617345404688e-07,1.135262995660671e-09
kappa,1.6631153775366185,0.1437870122216675,0.020940175628095463,0.000630174908168496
q,0.2169280927221676,0.01875482768108694,0.0027313272558387816,8.219672715248372e-05
chi,0.0,0.0,0.0,0.0
sigmaR_first_shock,0.2601363509666097,0.02831804469692556,0.0002875565613553811,1.1248497368158972e-05
sigmaR_second_shock,0.00874911680631793,0.0008233763654588177,0.0001177003580718492,2.858164404245418e-06
sigmaR_third_shock,0.28231541308468033,0.013547496056796797,0.028806536899198952,0.0008070344204770064
PiH_first_shock,1.6140692002003385,0.1720431270503025,0.2544323350325281,0.004176637262493232
PiH_second_shock,1.251832117182505,0.013133922343239554,0.9208879701885523,0.010533952356464024
PiH_third_shock,1.148782796302895,0.026953452180605277,0.8078893610068808,0.026515432106618008
PiE_first_shock,5.663495830190423,0.6272552710759414,0.00494373792876581,0.00047513868937906767
PiE_second_shock,0.08111383650253787,0.007994638909679538,0.00027441797021045337,8.793161132093937e-06
PiE_third_shock,0.9806470434871852,0.05479594725090149,0.05576624322966372,0.0017261566593089134
r,120.12865698152919,9.476108314663822,0.9345814287350737,0.026957313376539116
dent,0.00012643462186941838,2.63881623388737e-05,1.715510457726801e-11,5.085510391629784e-12
HJB_E,24.382428754597022,2.2988827214105965,1.4626704579476997,0.031606672000990405
HJB_H,107.8378072669022,4.9477325201775635,3.7331398664806494,0.1679949672954885
kappa_min,0.05284024881643041,0.004233879036880432,0.010044035130829406,0.00014785893462714982
